00:09:07:03 --> 00:09:10:07 | So what was it like humping Bleek’s bony bod?
00:09:11:10 --> 00:09:12:19 | Magnificent!
00:09:51:02 --> 00:09:51:18 | Hey, Bleek.
00:09:54:05 --> 00:09:56:22 | Wicked tiger. He looks proud.
00:09:57:16 --> 00:09:59:23 | I swiped it from Ms. Rancik’s lawn.
00:10:01:19 --> 00:10:04:16 | My, your shorts are especially gold today.
00:10:04:22 --> 00:10:06:10 | My mom uses color-safe bleach.
00:10:07:05 --> 00:10:08:06 | Go, Carol.
00:10:09:17 --> 00:10:10:17 | I’ll tell her. (I’ll repeat your compliment to my mother)
00:10:14:22 --> 00:10:18:05 | When I see them all running like that, with their things bouncing around in their shorts…
00:10:18:10 --> 00:10:23:02 | I always picture them naked, even if I don’t want to. All I see is pork-swords.
00:10:24:20 --> 00:10:26:02 | I’m supposed to be running.
00:10:27:06 --> 00:10:28:03 | So guess what? (Attempt to guess what I’m going to tell you)
00:10:29:18 --> 00:10:30:21 | What? I don’t know.
00:10:32:19 --> 00:10:33:21 | I’m pregnant.
00:10:45:12 --> 00:10:47:16 | What should we do… about it?
00:10:49:11 --> 00:10:54:04 | I was… just thinking I’d nip it in the bud.
00:10:54:12 --> 00:10:58:16 | Before it gets worse. They were talking about in Health class how pregnancy…
00:10:59:11 --> 00:11:01:22 | can often lead to an infant.
00:11:02:08 --> 00:11:06:23 | Typically, yeah. That’s what happens when our moms and teachers get pregnant.
00:11:10:11 --> 00:11:12:07 | So you’re cool with that then?
00:11:13:01 --> 00:11:18:00 | Yeah, yeah. Wizard, just do whatever you think you should do.
00:11:24:00 --> 00:11:28:13 | I’m sorry I had sex with you. I know it wasn’t your idea.
00:11:29:21 --> 00:11:31:04 | Whose idea was it?
00:11:31:09 --> 00:11:33:04 | I’ll see you at school, alright?
00:11:37:12 --> 00:11:38:20 | Whose idea was it?
00:12:06:03 --> 00:12:07:08 | Your book fell apart!
00:12:08:02 --> 00:12:09:00 | Right.
00:12:09:08 --> 00:12:10:16 | It must have looked at your face. (an insult, implying that the book was so traumatized by Juno’s unattractive face that it was destroyed)
00:12:13:16 --> 00:12:16:11 | The funny thing is that Steve Rendazo secretly wants me. (It’s amusing that Steve insults me because I know he wants to have sex with me)
00:12:16:22 --> 00:12:19:02 | Jocks like him always want freaky girls.
00:12:19:08 --> 00:12:23:22 | Girls with horn-rimmed glasses and vegan footwear and Goth makeup. (Juno is describing the fashion trends of the girls who, like Juno, would be considered odd-looking characters within the general population at her high school) (Goth: referring to Gothic, a style of fashion and a sub-culture popular with some young people which is marked by dark clothing, skin piercings and dark face make-up worn by girls and boys)
00:12:24:20 --> 00:12:28:05 | Girls who play the cello and read McSweeney’s… (Juno is describing intelligent girls who may be talented but lack the social skills of their peers)
00:12:28:10 --> 00:12:30:14 | and want to be children’s librarians when they grow up. (same as subtitle 1-109)
00:12:31:00 --> 00:12:33:20 | Oh yeah, jocks totally eat that shit up.
00:12:34:02 --> 00:12:37:10 | They just won’t admit it because they’re supposed to be into the perfect cheerleaders.
00:12:37:15 --> 00:12:40:19 | Like Leah, who incidentally is into teachers.
00:12:41:00 --> 00:12:43:14 | Me, too! I love Woody Allen! (I enthusiastically enjoy the films of the famous American director, Woody Allen)
00:12:46:08 --> 00:12:47:13 | Alright, alright!
00:12:48:08 --> 00:12:51:14 | People! We’re doing chromatography lab today. (chromatography: A technique used to separate the components of a chemical mixture by moving it along a stationary material, such as gelatin)
00:12:52:00 --> 00:12:54:05 | So find your partners and break into groups of four.
00:13:00:02 --> 00:13:02:06 | Well, there’s nothing like experimenting.
00:13:04:05 --> 00:13:07:10 | I did the prep questions for this lab last night, so you can just copy my answers if you
00:13:07:15 --> 00:13:09:04 | I couldn’t copy your work.
00:13:09:12 --> 00:13:11:00 | You copy my work every week.
00:13:11:05 --> 00:13:13:05 | True. I’m kind of a deadbeat lab partner, aren’t I?
00:13:13:10 --> 00:13:15:17 | I don’t mind. I think you definitely bring something to the table.
00:13:15:23 --> 00:13:17:02 | Charisma.
00:13:18:23 --> 00:13:21:14 | So who’s ready for some chromomagnificence?
00:13:21:21 --> 00:13:25:00 | I have a menstrual migraine, so I can’t really look at bright lights today.
00:13:25:08 --> 00:13:28:20 | Amanda, I told you to go to the infirmary and lie down. You never listen.
00:13:29:03 --> 00:13:32:14 | No, Josh because I don’t take orders. Not from you and not from any man.
00:13:32:19 --> 00:13:36:09 | You’ve been acting like this ever since I got back from visiting my brother in Mankato.
00:13:36:16 --> 00:13:38:00 | I already told you, nothing happened.
