**Sh#** | **Sh** | **Time** | **In** | **Scene** | **Description** | **Title** | **Time** | **In** | **Time** | **Out** | **Dur** | **Titles**
 |  |  |  | ARRESTED |  |  |  |  |  |  |  | We are entering a satanic age!
 |  |  |  | REPORTER | (OS): |  |  |  |  |  |  | 
 |  |  |  | We are | entering a satanic age! |  |  |  |  |  |  | 
32 | 01:02:01:04 |  |  | FS - | THE PEOPLE PROTEST |  |  |  |  |  |  | 
33 | 01:02:01:16 |  |  | CU - | A WOMAN FAINTS |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 2
34 | 01:02:02:06 |  |  | IMAGE | - NEWS ARCHIVES | 13 | 01:02:03:08 |  | 01:02:05:23 |  | 02:15 | Anyone who can't
 |  |  |  |  |  |  |  |  |  |  |  | see that is blind!
 |  |  |  | Anyone | who can't |  |  |  |  |  |  | 
 |  |  |  | see that | is blind! |  |  |  |  |  |  | 
35 | 01:02:03:15 |  |  | IMAGE | - NEWS ARCHIVES |  |  |  |  |  |  | 
36 | 01:02:05:01 |  |  | IMAGE | - NEWS ARCHIVE | 14 | 01:02:06:01 |  | 01:02:06:22 |  | 00:21 | [people screaming]
 |  |  |  | [people | screaming] |  |  |  |  |  |  | 
37 | 01:02:06:05 |  |  | MS -A | WOMAN CRIES |  |  |  |  |  |  | 
38 | 01:02:07:00 |  |  | FS - | THE COPS RUN | 15 | 01:02:07:00 |  | 01:02:09:16 |  | 02:16 | NARRATOR (VO):
 |  |  |  |  |  |  |  |  |  |  |  | Television documents the chaos,
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | Television | documents the chaos, |  |  |  |  |  |  | 
39 | 01:02:07:16 |  |  | MS - | A CAMERA |  |  |  |  |  |  | 
40 | 01:02:08:05 |  |  | MWS | - THE NEWS ROOM |  |  |  |  |  |  | 
41 | 01:02:08:17 |  |  | MS - | PEOPLE WATCH THE NEWS | 16 | 01:02:09:18 |  | 01:02:12:06 |  | 02:12 | beams the horror
 |  |  |  |  |  |  |  |  |  |  |  | into our living rooms.
 |  |  |  | beams | the horror |  |  |  |  |  |  | 
 |  |  |  | into | our living rooms. |  |  |  |  |  |  | 
42 | 01:02:10:08 |  |  | MS - | A WOMAN YELLS |  |  |  |  |  |  | 
43 | 01:02:10:18 |  |  | MS - | THE BOARDS FALLS |  |  |  |  |  |  | 
44 | 01:02:11:05 |  |  | FS - | THE HOUSE BURNS |  |  |  |  |  |  | 
45 | 01:02:11:17 |  |  | FS - | THE PEOPLE RUN |  |  |  |  |  |  | 
46 | 01:02:12:09 |  |  | MS - | THE SOLDIER FIRES |  |  |  |  |  |  | 
47 | 01:02:13:01 |  |  | FS - | THE BLAST |  |  |  |  |  |  | 
48 | 01:02:13:14 |  |  | FS - | THE VOLCANO ERUPTS | 17 | 01:02:15:08 |  | 01:02:16:16 |  | 01:08 | SATAN CHURCH PRIEST:
 |  |  |  |  |  |  |  |  |  |  |  | And so it is done.
 |  |  |  | SATAN | CHURCH PRIEST: |  |  |  |  |  |  | 
 |  |  |  | And | so it is done. |  |  |  |  |  |  | 
49 | 01:02:15:16 |  |  | MS - | D'ABO GESTURES | 18 | 01:02:16:18 |  | 01:02:18:19 |  | 02:01 | [music ends]
 |  |  |  | [music | ends] |  |  |  |  |  |  | 
50 | 01:02:16:23 |  |  | FS - | THE BLAST | 19 | 01:02:18:21 |  | 01:02:21:12 |  | 02:15 | [music begins]
 |  |  |  |  |  |  |  |  |  |  |  | NARRATOR (VO):
 |  |  |  | [music | begins] |  |  |  |  |  |  | But it also offers comfort.
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | But it | also offers comfort. |  |  |  |  |  |  | 
 |  |  |  |  |  | 20 | 01:02:21:14 |  | 01:02:24:07 |  | 02:17 | April 4th, 1971,
 |  |  |  | April | 4th, 1971, |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 3
51 | 01:02:22:18 |  |  | FS - | JACK WALKS IN ON THE SET | 21 | 01:02:24:09 |  | 01:02:28:03 |  | 03:18 | the first episode of UBC's
 |  |  |  | OF NIGHT | OWLS. HE GIVES A |  |  |  |  |  |  | "Night Owls" goes to air.
 |  |  |  | SPEECH. | THE CAMERA TRACKS |  |  |  |  |  |  | 
 |  |  |  | IN |  | 22 | 01:02:28:05 |  | 01:02:30:00 |  | 01:19 | The network's hopes for
 |  |  |  |  |  |  |  |  |  |  |  | a late night hit
 |  |  |  | the first | episode of UBC's |  |  |  |  |  |  | 
 |  |  |  | "Night | Owls" goes to air. |  |  |  |  |  |  | 
 |  |  |  |  |  | 23 | 01:02:30:02 |  | 01:02:32:02 |  | 02:00 | are riding on the shoulders
 |  |  |  |  |  |  |  |  |  |  |  | of the host,
 |  |  |  | The network's | hopes for |  |  |  |  |  |  | 
 |  |  |  | a late | night hit |  |  |  |  |  |  | 
 |  |  |  |  |  | 24 | 01:02:32:04 |  | 01:02:34:09 |  | 02:05 | a popular Chicago
 |  |  |  |  |  |  |  |  |  |  |  | radio announcer.
 |  |  |  | are riding | on the shoulders |  |  |  |  |  |  | 
 |  |  |  | of the | host, |  |  |  |  |  |  | 
 |  |  |  |  |  | 25 | 01:02:34:11 |  | 01:02:36:10 |  | 01:23 | [music ends]
 |  |  |  |  |  |  |  |  |  |  |  | JACK:
 |  |  |  | a popular | Chicago |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Good evening, Night Owls.
 |  |  |  | radio | announcer. |  |  |  |  |  |  | 
 |  |  |  |  |  | 26 | 01:02:36:12 |  | 01:02:38:03 |  | 01:15 | I'm your host, Jack Delroy,
 |  |  |  | [music | ends] |  |  |  |  |  |  | 
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Good | evening, Night Owls. | 27 | 01:02:38:05 |  | 01:02:40:18 |  | 02:13 | and thank you for allowing
 |  |  |  |  |  |  |  |  |  |  |  | me into your living rooms
 |  |  |  | I'm your | host, Jack Delroy, |  |  |  |  |  |  | 
 |  |  |  |  |  | 28 | 01:02:40:20 |  | 01:02:44:08 |  | 03:12 | for the first of what I hope
 |  |  |  | and thank | you for allowing |  |  |  |  |  |  | will be many, many shows.
 |  |  |  | me into | your living rooms |  |  |  |  |  |  | 
 |  |  |  |  |  | 29 | 01:02:44:10 |  | 01:02:45:13 |  | 01:03 | [chuckles]
 |  |  |  | for the | first of what I hope |  |  |  |  |  |  | 
