**Sh#** | **Sh** | **Time** | **In** | **Scene** | **Description** | **Title** | **Time** | **In** | **Time** | **Out** | **Dur** | **Titles**
 |  |  |  |  |  | 234 | 01:11:03:17 |  | 01:11:04:05 |  | 00:12 | Woo!
 |  |  |  | That | one went over the fence. |  |  |  |  |  |  | 
 |  |  |  |  |  | 235 | 01:11:04:07 |  | 01:11:05:01 |  | 00:18 | [laughs]
 |  |  |  | Woo! |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 236 | 01:11:05:03 |  | 01:11:06:04 |  | 01:01 | GUS:
 |  |  |  | [laughs] |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | I don't get that joke, Jack.
 |  |  |  | GUS: |  |  |  |  |  |  |  | 
 |  |  |  | I don't | get that joke, Jack. |  |  |  |  |  |  | 
206 | 01:11:05:15 |  |  | MWS | - GUS SHRUGS | 237 | 01:11:06:06 |  | 01:11:08:20 |  | 02:14 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Oh, well, I guess we're gonna
 |  |  |  | JACK: |  |  |  |  |  |  |  | have to raise the bar
 |  |  |  | Oh, well, | I guess we're gonna have to |  |  |  |  |  |  | 
 |  |  |  | raise | the bar |  |  |  |  |  |  | 
207 | 01:11:07:11 |  |  | MS - | JACK EXPLAINS | 238 | 01:11:08:22 |  | 01:11:10:12 |  | 01:14 | to Gus's standards now, folks.
 |  |  |  | to Gus's | standards now, folks. |  |  |  |  |  |  | 
208 | 01:11:09:17 |  |  | MWS | - GUS NODS | 239 | 01:11:10:14 |  | 01:11:14:04 |  | 03:14 | Uh, yeah, so apparently
 |  |  |  |  |  |  |  |  |  |  |  | President Jimmy Carter...
 |  |  |  | Uh, yeah, | so apparently |  |  |  |  |  |  | 
 |  |  |  | President | Jimmy Carter... |  |  |  |  |  |  | 
209 | 01:11:11:07 |  |  | MS - | JACK SPEAKS TO THE | 240 | 01:11:14:06 |  | 01:11:15:06 |  | 01:00 | Really, Leo?
 |  |  |  | AUDIENCE |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 241 | 01:11:15:08 |  | 01:11:16:03 |  | 00:19 | [audience cheering]
 |  |  |  | Really, | Leo? |  |  |  |  |  |  | 
 |  |  |  |  |  | 242 | 01:11:16:05 |  | 01:11:17:03 |  | 00:22 | JACK:
 |  |  |  | [audience | cheering] |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Oh, you...
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 243 | 01:11:17:05 |  | 01:11:20:01 |  | 02:20 | Okay, easy pickings, I guess.
 |  |  |  | Oh, you... |  |  |  |  |  |  |  | 
 |  |  |  | Okay, | easy pickings, I guess. |  |  |  |  |  |  | 
210 | 01:11:19:20 |  |  | MS - | GUS SMILES | 244 | 01:11:20:03 |  | 01:11:21:03 |  | 01:00 | [audience laughing]
 |  |  |  | [audience | laughing] |  |  |  |  |  |  | 
 |  |  |  |  |  | 245 | 01:11:21:05 |  | 01:11:23:16 |  | 02:11 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | So President Carter held a press
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | conference today announcing
 |  |  |  | So President | Carter held a press |  |  |  |  |  |  | 
 |  |  |  | conference | today announcing |  |  |  |  |  |  | 
211 | 01:11:21:20 |  |  | MWS | - JACK EXPLAINS | 246 | 01:11:23:18 |  | 01:11:25:18 |  | 02:00 | a reorganisation of his staff.
 |  |  |  | a reorganisation | of his staff. | 247 | 01:11:25:20 |  | 01:11:29:13 |  | 03:17 | When asked if his brother
 |  |  |  |  |  |  |  |  |  |  |  | Billy was part of the plans,
 |  |  |  | When | asked if his brother |  |  |  |  |  |  | 
 |  |  |  | Billy | was part of the plans, |  |  |  |  |  |  | 
212 | 01:11:29:08 |  |  | MWS | - JACK EXPLAINS. GUS | 248 | 01:11:29:15 |  | 01:11:31:20 |  | 02:05 | the president said that
 |  |  |  | WATCHES |  |  |  |  |  |  |  | he'd offered Billy a chance
 |  |  |  | the president | said that | 249 | 01:11:31:22 |  | 01:11:36:22 |  | 05:00 | to head either the FBI,
 |  |  |  | he'd | offered Billy a chance |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | is this true, or the CIA.
 |  |  |  |  |  |  |  |  |  |  |  | pg. 21
 |  |  |  | to head | either the FBI, |  |  |  |  |  |  | 
 |  |  |  | is this | true, or the CIA. |  |  |  |  |  |  | 
213 | 01:11:35:09 |  |  | MWS | - JACK SHRUGS | 250 | 01:11:37:07 |  | 01:11:41:04 |  | 03:21 | Wow,
 |  |  |  |  |  |  |  |  |  |  |  | apparently Billy said he refused
 |  |  |  | Wow, |  |  |  |  |  |  |  | 
 |  |  |  | apparently | Billy said he refused |  |  |  |  |  |  | 
214 | 01:11:37:17 |  |  | MWS | - GUS LOOKS AT JACK |  |  |  |  |  |  | 
215 | 01:11:39:22 |  |  | MS - | JACK SMILES | 251 | 01:11:41:06 |  | 01:11:43:13 |  | 02:07 | to head any agency
 |  |  |  |  |  |  |  |  |  |  |  | that he couldn't spell.
 |  |  |  | to head | any agency |  |  |  |  |  |  | 
 |  |  |  | that he | couldn't spell. |  |  |  |  |  |  | 
 |  |  |  |  |  | 252 | 01:11:43:15 |  | 01:11:45:20 |  | 02:05 | [audience laughing]
 |  |  |  | [audience | laughing] |  |  |  |  |  |  | 
 |  |  |  |  |  | 253 | 01:11:45:22 |  | 01:11:47:06 |  | 01:08 | [laughs]
 |  |  |  | [laughs] |  |  |  |  |  |  |  | 
216 | 01:11:46:07 |  |  | MWS | - GUS NODS | 254 | 01:11:47:08 |  | 01:11:48:11 |  | 01:03 | GUS:
 |  |  |  |  |  |  |  |  |  |  |  | I get that joke.
 |  |  |  | GUS: |  |  |  |  |  |  |  | 
 |  |  |  | I get | that joke. |  |  |  |  |  |  | 
217 | 01:11:48:08 |  |  | MS - | JACK POINTS | 255 | 01:11:48:13 |  | 01:11:49:02 |  | 00:13 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | You got it?
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | You | got it? |  |  |  |  |  |  | 
 |  |  |  |  |  | 256 | 01:11:49:04 |  | 01:11:49:05 |  | 00:01 | GUS:
 |  |  |  |  |  |  |  |  |  |  |  | I got it.
 |  |  |  | GUS: |  |  |  |  |  |  |  | 
 |  |  |  | I got | it. |  |  |  |  |  |  | 
 |  |  |  |  |  | 257 | 01:11:49:07 |  | 01:11:49:17 |  | 00:10 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Got it.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Got it. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 258 | 01:11:49:19 |  | 01:11:50:13 |  | 00:18 | Gus got it.
 |  |  |  | Gus | got it. |  |  |  |  |  |  | 
 |  |  |  |  |  | 259 | 01:11:50:15 |  | 01:11:53:02 |  | 02:11 | [laughs]
 |  |  |  | [laughs] |  |  |  |  |  |  |  | 
218 | 01:11:51:04 |  |  | MWS | - GUS CHUCKLES |  |  |  |  |  |  | 
219 | 01:11:52:03 |  |  | MS - | JACK SPEAKS TO THE | 260 | 01:11:53:04 |  | 01:11:54:22 |  | 01:18 | JACK:
 |  |  |  | AUDIENCE |  |  |  |  |  |  |  | Well, night owls, we've
 |  |  |  |  |  |  |  |  |  |  |  | got a heck of a show
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Well, | night owls, we've |  |  |  |  |  |  | 
 |  |  |  |  |  | 261 | 01:11:55:00 |  | 01:11:57:06 |  | 02:06 | in store for you tonight
 |  |  |  | got a | heck of a show |  |  |  |  |  |  | and I'm very excited for you
 |  |  |  | in store | for you tonight |  |  |  |  |  |  | 
 |  |  |  |  |  | 262 | 01:11:57:08 |  | 01:11:59:07 |  | 01:23 | to see it all unfold
 |  |  |  | and I'm | very excited for you |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | before your very eyes.
 |  |  |  | to see | it all unfold |  |  |  |  |  |  | 
 |  |  |  |  |  | 263 | 01:11:59:09 |  | 01:12:02:05 |  | 02:20 | I really hope you love it.
 |  |  |  | before | your very eyes. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Gosh, I hope you love it.
 |  |  |  | I really | hope you love it. |  |  |  |  |  |  | 
 |  |  |  |  |  | 264 | 01:12:02:07 |  | 01:12:06:19 |  | 04:12 | Please love it because,
 |  |  |  | Gosh, | I hope you love it. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | well, it's sweeps week.
 |  |  |  |  |  |  |  |  |  |  |  | pg. 22
 |  |  |  | Please | love it because, |  |  |  |  |  |  | 
 |  |  |  | well, | it's sweeps week. |  |  |  |  |  |  | 
220 | 01:12:03:15 |  |  | MWS | - GUS LOOKS AT JACK |  |  |  |  |  |  | 
221 | 01:12:05:22 |  |  | MS - | JACK GESTURES | 265 | 01:12:08:04 |  | 01:12:10:18 |  | 02:14 | [music begins]
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
222 | 01:12:10:09 |  |  | MWS | - JACK GESTURES. GUS | 266 | 01:12:10:20 |  | 01:12:11:03 |  | 00:07 | [music ends]
 |  |  |  | WATCHES |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 267 | 01:12:11:05 |  | 01:12:13:03 |  | 01:22 | JACK:
 |  |  |  | [music | ends] |  |  |  |  |  |  | Oh, that's right.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 268 | 01:12:13:05 |  | 01:12:15:00 |  | 01:19 | Where is Vincent Price
 |  |  |  | Oh, that's | right. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | when you need him?
 |  |  |  | Where | is Vincent Price |  |  |  |  |  |  | 
 |  |  |  |  |  | 269 | 01:12:15:02 |  | 01:12:16:13 |  | 01:11 | Boy, I tell you what...
 |  |  |  | when | you need him? |  |  |  |  |  |  | 
 |  |  |  |  |  | 270 | 01:12:16:15 |  | 01:12:19:08 |  | 02:17 | Now, sweeps week,
 |  |  |  | Boy, | I tell you what... |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | as we all know,
 |  |  |  | Now, | sweeps week, |  |  |  |  |  |  | 
 |  |  |  | as we | all know, |  |  |  |  |  |  | 
223 | 01:12:17:07 |  |  | MS - | JACK EXPLAINS | 271 | 01:12:19:10 |  | 01:12:22:17 |  | 03:07 | is the all important
 |  |  |  |  |  |  |  |  |  |  |  | national ratings period.
 |  |  |  | is the | all important |  |  |  |  |  |  | 
 |  |  |  | national | ratings period. |  |  |  |  |  |  | 
 |  |  |  |  |  | 272 | 01:12:22:19 |  | 01:12:24:19 |  | 02:00 | But, hey,
 |  |  |  |  |  |  |  |  |  |  |  | do I look nervous to you, Gus?
 |  |  |  | But, | hey, |  |  |  |  |  |  | 
 |  |  |  | do I | look nervous to you, Gus? |  |  |  |  |  |  | 
224 | 01:12:23:02 |  |  | MCU | - JACK ASKS |  |  |  |  |  |  | 
225 | 01:12:24:14 |  |  | MS - | GUS SMILES | 273 | 01:12:24:21 |  | 01:12:26:08 |  | 01:11 | GUS:
 |  |  |  |  |  |  |  |  |  |  |  | You better believe it, Jack.
 |  |  |  | GUS: |  |  |  |  |  |  |  | 
 |  |  |  | You | better believe it, Jack. |  |  |  |  |  |  | 
 |  |  |  |  |  | 274 | 01:12:26:10 |  | 01:12:27:21 |  | 01:11 | [laughs]
 |  |  |  |  |  |  |  |  |  |  |  | [audience laughing]
 |  |  |  | [laughs] |  |  |  |  |  |  |  | 
 |  |  |  | [audience | laughing] |  |  |  |  |  |  | 
226 | 01:12:26:16 |  |  | MS - | JACK EXPLAINS | 275 | 01:12:27:23 |  | 01:12:30:12 |  | 02:13 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | We all know how important
 |  |  |  | JACK: |  |  |  |  |  |  |  | it is to keep our sponsors
 |  |  |  | We all | know how important |  |  |  |  |  |  | 
 |  |  |  | it is to | keep our sponsors |  |  |  |  |  |  | 
 |  |  |  |  |  | 276 | 01:12:30:14 |  | 01:12:31:03 |  | 00:13 | and affiliates happy.
 |  |  |  | and affiliates | happy. |  |  |  |  |  |  | 
 |  |  |  |  |  | 277 | 01:12:31:05 |  | 01:12:32:05 |  | 01:00 | But in my humble opinion,
 |  |  |  | But in | my humble opinion, |  |  |  |  |  |  | 
 |  |  |  |  |  | 278 | 01:12:32:07 |  | 01:12:35:06 |  | 02:23 | there is only one person
 |  |  |  |  |  |  |  |  |  |  |  | who really matters
 |  |  |  | there | is only one person |  |  |  |  |  |  | 
 |  |  |  | who | really matters |  |  |  |  |  |  | 
 |  |  |  |  |  | 279 | 01:12:35:08 |  | 01:12:37:10 |  | 02:02 | in this whole darn
 |  |  |  | in this | whole darn |  |  |  |  |  |  | crazy business.
 |  |  |  | crazy | business. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 23
227 | 01:12:37:14 |  |  | MS - | GUS WATCHES | 280 | 01:12:38:09 |  | 01:12:39:10 |  | 01:01 | GUS:
 |  |  |  |  |  |  |  |  |  |  |  | Well, thank you, Jack.
 |  |  |  | GUS: |  |  |  |  |  |  |  | 
 |  |  |  | Well, | thank you, Jack. |  |  |  |  |  |  | 
228 | 01:12:39:08 |  |  | MS - | JACK POINTS | 281 | 01:12:39:12 |  | 01:12:40:13 |  | 01:01 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | And that is you, our viewer.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | And | that is you, our viewer. |  |  |  |  |  |  | 
 |  |  |  |  |  | 282 | 01:12:40:15 |  | 01:12:42:17 |  | 02:02 | [audience laughing]
 |  |  |  | [audience | laughing] |  |  |  |  |  |  | 
229 | 01:12:41:18 |  |  | MS - | GUS LOOKS DOWN | 283 | 01:12:42:19 |  | 01:12:45:19 |  | 03:00 | JACK (OS/ON):
 |  |  |  |  |  |  |  |  |  |  |  | You have stood by me
 |  |  |  | JACK | (OS/ON): |  |  |  |  |  |  | through thick and thin,
 |  |  |  | You | have stood by me |  |  |  |  |  |  | 
 |  |  |  | through | thick and thin, |  |  |  |  |  |  | 
230 | 01:12:44:10 |  |  | MS - | JACK SPEAKS TO HIS | 284 | 01:12:45:21 |  | 01:12:47:14 |  | 01:17 | good times and bad.
 |  |  |  | AUDIENCE. | THE CAMERA |  |  |  |  |  |  | 
 |  |  |  | TRACKS | IN | 285 | 01:12:47:16 |  | 01:12:49:00 |  | 01:08 | Especially the bad.
 |  |  |  | good | times and bad. |  |  |  |  |  |  | 
 |  |  |  |  |  | 286 | 01:12:49:02 |  | 01:12:52:08 |  | 03:06 | It was your support
 |  |  |  |  |  |  |  |  |  |  |  | that brought me back
 |  |  |  | Especially | the bad. |  |  |  |  |  |  | 
 |  |  |  |  |  | 287 | 01:12:52:10 |  | 01:12:53:22 |  | 01:12 | into this very studio a year ago
 |  |  |  | It was | your support |  |  |  |  |  |  | 
 |  |  |  | that brought | me back |  |  |  |  |  |  | 
 |  |  |  |  |  | 288 | 01:12:54:00 |  | 01:12:55:21 |  | 01:21 | when I could have easily
 |  |  |  |  |  |  |  |  |  |  |  | thrown in the towel,
 |  |  |  | into | this very studio a year ago |  |  |  |  |  |  | 
 |  |  |  | when | I could have easily | 289 | 01:12:55:23 |  | 01:13:00:16 |  | 04:17 | when many suggested that I
 |  |  |  | thrown | in the towel, |  |  |  |  |  |  | should have thrown in the towel.
 |  |  |  | when | many suggested that I |  |  |  |  |  |  | 
 |  |  |  | should | have thrown in the towel. |  |  |  |  |  |  | 
231 | 01:12:58:01 |  |  | MS - | GUS LOOKS DOWN | 290 | 01:13:00:18 |  | 01:13:03:07 |  | 02:13 | This show is, and it
 |  |  |  |  |  |  |  |  |  |  |  | always has been, for you.
 |  |  |  | This | show is, and it |  |  |  |  |  |  | 
 |  |  |  | always | has been, for you. |  |  |  |  |  |  | 
232 | 01:13:01:14 |  |  | MCU | - JACK SMILES. HE CLAPS. | 291 | 01:13:04:06 |  | 01:13:05:08 |  | 01:02 | WOMAN IN CROWD (OS):
 |  |  |  | THE | CAMERA TRACKS BACK |  |  |  |  |  |  | We love you Jack!
 |  |  |  | WOMAN | IN CROWD (OS): |  |  |  |  |  |  | 
 |  |  |  |  |  | 292 | 01:13:05:10 |  | 01:13:06:04 |  | 00:18 | JACK:
 |  |  |  | We love | you Jack! |  |  |  |  |  |  | And...
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 293 | 01:13:06:06 |  | 01:13:08:04 |  | 01:22 | AUDIENCE (OS):
 |  |  |  | And... |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Aww.
 |  |  |  | AUDIENCE | (OS): |  |  |  |  |  |  | 
 |  |  |  |  |  | 294 | 01:13:08:06 |  | 01:13:10:18 |  | 02:12 | JACK:
 |  |  |  | Aww. |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Leo, can we please get that
 |  |  |  |  |  |  |  |  |  |  |  | woman a Nielsen viewing diary?
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Leo, | can we please get that |  |  |  |  |  |  | 
 |  |  |  |  |  | 295 | 01:13:10:20 |  | 01:13:12:19 |  | 01:23 | Come on.
 |  |  |  | woman | a Nielsen viewing diary? |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | [audience laughing]
 |  |  |  | Come | on. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 24
 |  |  |  | [audience | laughing] | 296 | 01:13:12:21 |  | 01:13:13:11 |  | 00:14 | [Gus laughs]
 |  |  |  | [Gus | laughs] |  |  |  |  |  |  | 
 |  |  |  |  |  | 297 | 01:13:13:13 |  | 01:13:14:06 |  | 00:17 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Thank you all.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Thank | you all. |  |  |  |  |  |  | 
 |  |  |  |  |  | 298 | 01:13:15:03 |  | 01:13:18:01 |  | 02:22 | What do you say, night
 |  |  |  |  |  |  |  |  |  |  |  | owls, on with the show, huh?
 |  |  |  | What | do you say, night |  |  |  |  |  |  | 
 |  |  |  | owls, | on with the show, huh? |  |  |  |  |  |  | 
 |  |  |  |  |  | 299 | 01:13:18:03 |  | 01:13:19:21 |  | 01:18 | Yeah!
 |  |  |  |  |  |  |  |  |  |  |  | [audience cheering]
 |  |  |  | Yeah! |  |  |  |  |  |  |  | 
 |  |  |  | [audience | cheering] |  |  |  |  |  |  | 
233 | 01:13:19:02 |  |  | FS - | JACK CLAPS |  |  |  |  |  |  | 
234 | 01:13:22:00 |  |  | MS - | JACK EXPLAINS | 300 | 01:13:23:04 |  | 01:13:25:10 |  | 02:06 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Interest in the
 |  |  |  | JACK: |  |  |  |  |  |  |  | occult has seen
 |  |  |  | Interest | in the |  |  |  |  |  |  | 
 |  |  |  | occult | has seen |  |  |  |  |  |  | 
 |  |  |  |  |  | 301 | 01:13:25:12 |  | 01:13:27:12 |  | 02:00 | a major revival in recent years.
 |  |  |  | a major | revival in recent years. |  |  |  |  |  |  | 
 |  |  |  |  |  | 302 | 01:13:27:14 |  | 01:13:28:08 |  | 00:18 | This is true.
 |  |  |  | This | is true. |  |  |  |  |  |  | 
 |  |  |  |  |  | 303 | 01:13:28:10 |  | 01:13:29:07 |  | 00:21 | You open any newspaper today,
 |  |  |  | You | open any newspaper today, |  |  |  |  |  |  | 
 |  |  |  |  |  | 304 | 01:13:29:09 |  | 01:13:31:05 |  | 01:20 | you're gonna see hundreds
 |  |  |  | you're | gonna see hundreds |  |  |  |  |  |  | of ads for psychics
 |  |  |  | of ads | for psychics |  |  |  |  |  |  | 
 |  |  |  |  |  | 305 | 01:13:31:07 |  | 01:13:34:20 |  | 03:13 | or fortune tellers,
 |  |  |  | or fortune | tellers, |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | exorcists even.
 |  |  |  | exorcists | even. |  |  |  |  |  |  | 
235 | 01:13:33:00 |  |  | FS - | JACK EXPLAINS | 306 | 01:13:34:22 |  | 01:13:35:16 |  | 00:18 | AUDIENCE (OS):
 |  |  |  |  |  |  |  |  |  |  |  | Ooh!
 |  |  |  | AUDIENCE | (OS): |  |  |  |  |  |  | JACK:
 |  |  |  | Ooh! |  |  |  |  |  |  |  | Whoa!
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Whoa! |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 307 | 01:13:35:18 |  | 01:13:37:14 |  | 01:20 | Now, as you know here,
 |  |  |  |  |  |  |  |  |  |  |  | on "Night Owls,"
 |  |  |  | Now, | as you know here, |  |  |  |  |  |  | 
 |  |  |  | on "Night | Owls," |  |  |  |  |  |  | 
236 | 01:13:37:14 |  |  | MS - | JACK EXPLAINS. HE CLAPS. | 308 | 01:13:37:16 |  | 01:13:41:01 |  | 03:09 | we think it's very important
 |  |  |  | THE | DOOR OPENS AND |  |  |  |  |  |  | to keep an open mind.
 |  |  |  | CHRISTOU | APPEARS |  |  |  |  |  |  | 
 |  |  |  |  |  | 309 | 01:13:42:01 |  | 01:13:43:00 |  | 00:23 | Our first guest tonight,
 |  |  |  | we think | it's very important |  |  |  |  |  |  | 
 |  |  |  | to keep | an open mind. |  |  |  |  |  |  | 
 |  |  |  |  |  | 310 | 01:13:43:02 |  | 01:13:45:01 |  | 01:23 | I am so excited
 |  |  |  |  |  |  |  |  |  |  |  | about this young man,
 |  |  |  | Our | first guest tonight, |  |  |  |  |  |  | 
 |  |  |  |  |  | 311 | 01:13:45:03 |  | 01:13:47:12 |  | 02:09 | is a shining light
 |  |  |  | I am | so excited |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | in this movement.
 |  |  |  | about | this young man, |  |  |  |  |  |  | 
 |  |  |  |  |  | 312 | 01:13:47:14 |  | 01:13:50:18 |  | 03:04 | Some call him a medium.
 |  |  |  | is a shining | light |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Others, a spiritualist.
 |  |  |  | in this | movement. |  |  |  |  |  |  | 
 |  |  |  | Some | call him a medium. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 25
 |  |  |  | Others, | a spiritualist. | 313 | 01:13:50:20 |  | 01:13:54:04 |  | 03:08 | Some have even called
 |  |  |  |  |  |  |  |  |  |  |  | him a miracle worker.
 |  |  |  | Some | have even called |  |  |  |  |  |  | 
 |  |  |  | him | a miracle worker. | 314 | 01:13:54:06 |  | 01:13:57:03 |  | 02:21 | We know him by one name
 |  |  |  |  |  |  |  |  |  |  |  | and, well, that's probably
 |  |  |  | We know | him by one name |  |  |  |  |  |  | 
 |  |  |  | and, | well, that's probably |  |  |  |  |  |  | 
 |  |  |  |  |  | 315 | 01:13:57:05 |  | 01:13:59:05 |  | 02:00 | because one name
 |  |  |  |  |  |  |  |  |  |  |  | is all he seems to have.
 |  |  |  | because | one name |  |  |  |  |  |  | 
 |  |  |  | is all | he seems to have. |  |  |  |  |  |  | 
 |  |  |  |  |  | 316 | 01:13:59:07 |  | 01:14:00:22 |  | 01:15 | Ladies and gentlemen,
 |  |  |  |  |  |  |  |  |  |  |  | please help me welcome
 |  |  |  | Ladies | and gentlemen, |  |  |  |  |  |  | 
 |  |  |  | please | help me welcome |  |  |  |  |  |  | 
 |  |  |  |  |  | 317 | 01:14:01:00 |  | 01:14:05:02 |  | 04:02 | the mysterious, the mononymous,
 |  |  |  |  |  |  |  |  |  |  |  | Christou.
 |  |  |  | the mysterious, | the mononymous, |  |  |  |  |  |  | 
 |  |  |  | Christou. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 318 | 01:14:05:04 |  | 01:14:05:18 |  | 00:14 | [audience cheering]
 |  |  |  | [audience | cheering] |  |  |  |  |  |  | 
 |  |  |  |  |  | 319 | 01:14:05:20 |  | 01:14:07:01 |  | 01:05 | [music begins]
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
237 | 01:14:10:07 |  |  | FS - | CHRISTOU WALKS ON THE |  |  |  |  |  |  | 
 |  |  |  | STAGE |  |  |  |  |  |  |  | 
238 | 01:14:12:17 |  |  | MS - | CHRISTOU WAVES |  |  |  |  |  |  | 
239 | 01:14:13:20 |  |  | MCU | - JACK CLAPS |  |  |  |  |  |  | 
240 | 01:14:14:21 |  |  | FS - | JACK PATS CHRISTOU. THEY | 320 | 01:14:17:08 |  | 01:14:18:09 |  | 01:01 | [music ends]
 |  |  |  | CHAT |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 321 | 01:14:20:19 |  | 01:14:21:18 |  | 00:23 | JACK:
 |  |  |  | [music | ends] |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Thank you for being here.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 322 | 01:14:21:20 |  | 01:14:24:05 |  | 02:09 | So it is just Christou,
 |  |  |  | Thank | you for being here. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | is that right?
 |  |  |  | So it | is just Christou, |  |  |  |  |  |  | 
 |  |  |  |  |  | 323 | 01:14:24:07 |  | 01:14:25:01 |  | 00:18 | CHRISTOU:
 |  |  |  | is that | right? |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Si, that is correct.
 |  |  |  | CHRISTOU: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 324 | 01:14:25:03 |  | 01:14:27:03 |  | 02:00 | Thank you for inviting
 |  |  |  | Si, that | is correct. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | me onto your programme.
 |  |  |  | Thank | you for inviting |  |  |  |  |  |  | 
 |  |  |  |  |  | 325 | 01:14:27:05 |  | 01:14:28:10 |  | 01:05 | JACK:
 |  |  |  | me onto | your programme. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Oh, please, thank
 |  |  |  | JACK: |  |  |  |  |  |  |  | you for taking time out
 |  |  |  | Oh, please, | thank |  |  |  |  |  |  | 
 |  |  |  | you for | taking time out | 326 | 01:14:28:12 |  | 01:14:29:14 |  | 01:02 | of your busy touring schedule.
 |  |  |  | of your | busy touring schedule. |  |  |  |  |  |  | 
 |  |  |  |  |  | 327 | 01:14:29:16 |  | 01:14:31:03 |  | 01:11 | You are a hot ticket these days,
 |  |  |  | You | are a hot ticket these days, |  |  |  |  |  |  | 
241 | 01:14:29:17 |  |  | MCU | - JACK SPEAKS TO | 328 | 01:14:31:05 |  | 01:14:31:10 |  | 00:05 | I tell you what.
 |  |  |  | CHRISTOU |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 329 | 01:14:31:12 |  | 01:14:32:20 |  | 01:08 | CHRISTOU:
 |  |  |  | I tell | you what. |  |  |  |  |  |  | It is my pleasure.
 |  |  |  |  |  |  |  |  |  |  |  | pg. 26
 |  |  |  | CHRISTOU: |  |  |  |  |  |  |  | 
 |  |  |  | It is my | pleasure. |  |  |  |  |  |  | 
242 | 01:14:31:19 |  |  | MCU | - CHRISTOU SMILES | 330 | 01:14:32:22 |  | 01:14:35:04 |  | 02:06 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Now, as I understand
 |  |  |  | JACK: |  |  |  |  |  |  |  | it, a night like tonight,
 |  |  |  | Now, | as I understand |  |  |  |  |  |  | 
