FILENAME: COYOTE_102_TV_As-Broadcast Dialogue List (1).docx
STRUCTURE: table_with_timecodes
=== RAW TEXT ===
=== PARAGRAPHS ===
COYOTE
Episode 102 – Final
Episode Title: “Silver or Lead”
RT: 48:14
as-broadcast DIALOGUE LIST
Produced by:
The Carnes & Gilbert Business
Dark Horse Entertainment
Narrative Ballistics
MacLaren Entertainment
Paramount Network Original
Sony Pictures Television Studios
DIALOGUE LIST

=== TABLE 1 (442 rows x 3 cols) ===
TIME CODE | CHARACTER | DIALOGUE
01:05:06:22 | BEN | (into phone) Hey. I'm gonna need a pickup at Bisbee around sunset. I'll send you a GPS pin. Do not tell anyone. <breathing heavily> <grunting>
01:05:20:22 | SUBTITLE (MARIA) | What are you carrying all that for?
01:05:21:00 | MARIA | (overlaps) (speaking Spanish) ¿Para qué llevas todo eso?
01:05:22:13 | BEN | It's all right, I got it. Try to keep up. <panting>
01:05:39:00 | SILVIA | (speaking Spanish) ¿Qué tal? ¿Está bien?
01:05:40:03 | FEMALE CUSTOMER | (overlaps) (speaking Spanish) Está bueno, ¿no?
01:05:40:23 | SILVIA | (speaking Spanish) ¿No tiene un poquito más de café?
01:05:44:01 | DANTE | (speaking Spanish) Tú le dijiste que se fuera con el pinche gringo, ¿verdad? ¿Eh? ¿Adónde se la llevó?
01:05:44:02 | SUBTITLE (DANTE) | You told her to go with that gringo.
01:05:47:21 | SUBTITLE (DANTE) | Where did he take her?
01:05:50:17 | DANTE | (speaking Spanish) ¡Contéstame! <breathes heavily> (speaking Spanish) Ese cabrón secuestró a mi morra. Y tú lo ayudaste. <sniffs>
01:05:50:18 | SUBTITLE (DANTE) | Answer me.
01:05:53:13 | SUBTITLE (DANTE) | That bastard kidnapped my child.
01:05:56:09 | SUBTITLE (DANTE) | And you helped.
01:05:59:19 | SULTAN | Yo.
01:06:01:04 | SILVIA | Your cousin's in a bad mood.
01:06:02:15 | SULTAN | No fucking kidding.
01:06:05:02 | SUBTITLE (DANTE) | You're in Mexico.
Not in the U.S.
01:06:05:03 | DANTE | (speaking Spanish) Estás en México, no en el gabacho. Habla español. Si no, regrésate por donde viniste.
01:06:06:19 | SUBTITLE (DANTE) | Speak Spanish or go back
where you came from.
01:06:14:13 | SUBTITLE (SULTAN) | Apologies.
01:06:14:14 | SULTAN | (speaking Spanish) Perdón.
01:06:20:06 | SUBTITLE (SULTAN) | Our uncle sent his best
trackers after the gringo.
01:06:20:07 | SULTAN | (speaking Spanish) Ya mi tío mandó a sus mejores rastreros para el gringo.
01:06:25:18 | SUBTITLE (DANTE) | The gringo?
01:06:25:20 | DANTE | (speaking Spanish) ¿El gringo? ¿Y mi hijo qué? <breathes heavily>
01:06:28:16 | SUBTITLE (DANTE) | What about my son?
