FILENAME: COYOTE_102_TV_As-Broadcast Dialogue List (1).docx
STRUCTURE: table_with_timecodes
=== RAW TEXT ===
=== PARAGRAPHS ===
COYOTE
Episode 102 – Final
Episode Title: “Silver or Lead”
RT: 48:14
as-broadcast DIALOGUE LIST
Produced by:
The Carnes & Gilbert Business
Dark Horse Entertainment
Narrative Ballistics
MacLaren Entertainment
Paramount Network Original
Sony Pictures Television Studios
DIALOGUE LIST

=== TABLE 1 (442 rows x 3 cols) ===
TIME CODE | CHARACTER | DIALOGUE
01:33:56:18 | JUAN | (through phone) Do I have your attention?
01:33:58:05 | BEN | (into phone) Who the fuck is this?
01:33:59:11 | JUAN | (through phone) Return to the place you left your truck. Go now or the next video we send you will have a much different ending.
01:34:06:18 | BEN | No, no, no. <breathes heavily> Oh, fuck. Oh, fuck.
01:34:13:00 | GARRETT | Hey, I thought you said you were in a hurry.
01:34:14:14 | BEN | <exhales heavily>
01:34:15:19 | GARRETT | Hey, Ben. Ben.
01:34:20:08 | BEN | <breathes heavily> He's gonna take good care of you. You can trust him.
01:34:23:21 | MARIA | Don't go.
01:34:24:17 | GARRETT | Wait, you're not coming with us?
01:34:25:19 | BEN | I can't. You remember what I told you?
01:34:29:10 | MARIA | <shuddering breath> "I-- I am unable to return to Mexico because I have a well-founded fear of, of persecution."
01:34:40:01 | GARRETT | <sighs>
01:34:43:21 | BEN | Take her somewhere safe while she applies for asylum.
01:34:45:20 | GARRETT | Whoa, hold on. Where the hell are you going? Hey, get in the car, Ben. Ben?
01:34:50:01 | BEN | Hey... please.
01:34:59:17 | GARRETT | Come on.
01:35:19:20 | BEN | <panting and grunting>
01:36:15:23 | BEN | <gulping> <panting and grunting>
01:36:41:18 | BEN | <panting and grunting>
01:37:12:11 | BEN | You knew I was coming. <panting>
01:38:07:12 | BEN | <grunts> <groans>
01:38:12:11 | SULTAN | Over here, chief.
01:38:13:07 | BEN | <panting and grunting>
01:38:17:00 | ON-SCREEN TEXT {on sign} | SOL
01:38:25:14 | BEN | Where's she going with my truck? <panting and grunting>
01:38:34:23 | SULTAN | God damn, (speaking Spanish) Migra. (speaking English) You smell like one rank-ass motherfucker.
01:38:38:20 | BEN | <grunts>
01:38:39:23 | SULTAN | What'd you do, roll around in dog shit?
01:38:41:17 | BEN | <panting and grunting> (continues intermittently throughout scene)
01:38:43:09 | SULTAN | Gun, wallet, phone.
01:38:53:23 | SULTAN | Follow me, cuz.
01:39:16:16 | JUAN | (echoing) Imagine the number of animals who have died right where you're standing. Come, join me.
01:39:20:18 | ON-SCREEN TEXT {on banners} | JUAN SILVETI
EL CALESERO
01:39:28:20 | BEN | You gotta be shitting me. <panting>
01:39:35:03 | JUAN | (echoing) They say in old bullrings like this, the souls of all the (speaking Spanish) toros (speaking English) who gave their lives still walk (speaking Spanish) el ruedo. (speaking English) And if you stand quietly, you will feel their breath on your face and hear their charge. A beautiful place... Tradition.
01:39:55:22 | JUAN | I'm glad you're here, Ben.
01:39:59:04 | BEN | Where's my daughter?
01:40:01:15 | JUAN | Call me Juan Diego.
01:40:03:14 | BEN | (shouting) Where is my daughter? <panting>
01:40:08:11 | JUAN | It's a different type of machismo you have. It's, uh, not Latin, more Anglo. The difference is---
01:40:13:00 | BEN | (interrupts) Where is my--
01:40:13:14 | JUAN | (interrupts) Your daughter is fine, so no need to worry about her, if you play by the rules.
01:40:19:05 | BEN | Rules? You sent one of your men into her bedroom.
01:40:22:13 | JUAN | And you took an unborn child away from his father. Now, I can promise you Dante wanted to do a lot more than just send a video.
01:40:36:21 | JUAN | I want you to work for me, Ben.
01:40:40:13 | JUAN | As a man who knows how to cross the border…
01:40:41:21 | BEN | What do you need me for? You got coyotes working for you. They know the routes better than I ever could.
01:40:49:20 | JUAN | You sell yourself short, (speaking Spanish) Migra, (speaking English) especially if you wanna keep your family safe.
01:40:56:04 | BEN | If you... <inhales sharply> or anyone who works for you even sneezes near my family, I swear… <shuddering breath> I'll kill you.
01:41:06:21 | JUAN | There it is. That's what I'm talking about. Machismo like a cowboy. Even in your position, still refusing to back down.
01:41:18:06 | JUAN | <inhales deeply> This is all very simple, Ben. You do as you're told, you tell no one, and I promise you, your family will be safe.
01:41:32:05 | JUAN | Now go back to Puerto Libre. Take a shower. Get some rest. We will be in contact.
01:41:41:17 | BEN | <panting>
01:42:02:06 | JUAN | I'd take the door on the left if I were you.
01:42:09:07 | BEN | <panting>
01:42:14:04 | SUBTITLE (JUAN) | Where are you going?
01:42:14:06 | JUAN | (speaking Spanish) ¿Para dónde crees que vas?
01:42:15:00 | DANTE | (speaking Spanish) Este cabrón secuestró a mi hijo. Voy a matar a este pinche perro.
01:42:15:12 | SUBTITLE (DANTE) | He took my son.
He's a dead man.
01:42:18:23 | SULTAN | Hey, let's go.
01:42:28:00 | BEN | <grunts>
01:42:33:19 | SUBTITLE (JUAN) | Your son is going to be born
a U.S. citizen.
01:42:33:20 | JUAN | (speaking Spanish) Tu hijo va a nacer con pasaporte de los Estados Unidos. Te acabo de hacer un favor. Me aseguré de que cruzara la frontera a salvo.
01:42:37:13 | SUBTITLE (JUAN) | I did you a favor.
01:42:40:01 | SUBTITLE (JUAN) | I made sure your son got there safely.
01:42:42:03 | SUBTITLE (DANTE) | You?
01:42:42:05 | DANTE | (speaking Spanish) ¿Tú? <scoffs>
01:42:45:21 | JUAN | (speaking Spanish) ¿Quién te dio permiso para echarle encima dos sicarios?
01:42:45:22 | SUBTITLE (JUAN) | Who gave you permission to send two
sicarios after them?
01:42:53:02 | SUBTITLE (JUAN) | Let him go.
01:42:53:04 | JUAN | (speaking Spanish) Déjalo ir. Por ahora.
01:42:55:02 | SUBTITLE (JUAN) | For now.
01:42:56:14 | DANTE | <breathing heavily>
01:43:25:16 | DISPATCHERS (VO) | (through radio) <indistinct radio chatter> (continues)
01:43:47:17 | HOLLY | Hmm. There goes ten months down the drain.
01:43:50:18 | WALLA | <officers chatter> (continues intermittently throughout scene)
01:44:05:14 | HOLLY | He tried to crawl.
01:44:12:23 | HOLLY | Nice try, buddy.
01:44:24:17 | HOLLY | <sniffs>
01:44:29:03 | CRIME SCENE TECH | Uh, the phone's locked. I mean, I can send it down to the lab, see if a tech can get anything out of it, but…
01:44:35:14 | HOLLY | <grunts> Hold this.
01:44:51:00 | HOLLY | <grunts>
01:44:57:03 | HOLLY | Uh... Amateur.
01:45:03:02 | ON-SCREEN TEXT {on cell phone screen} | Messages
Dante Zamora
(Dante Zamora = note this isn't clear on the proxy available and is an inference from the following dialogue)
01:45:05:09 | ON-SCREEN TEXT {on jacket} | POLICE
HSI
01:45:06:18 | LUGO | Dante Zamora.
01:45:21:13 | HOLLY | <exhales sharply>
01:45:48:04 | BOYS ON BIKES | <indistinct chatter>
01:47:14:20 | BEN | <grunts>
01:48:13:15 | LAST FRAME OF PICTURE
[VA PARSER] Found header at idx 16: {'start': 0, 'dialogue': 2}

[VA PARSER] Returning 351 entries.

[VA PARSER] Found header at idx 16: {'start': 0, 'dialogue': 2}

[VA PARSER] Returning 351 entries.
